"","day_index","day","year","mo","temp","visib","wdsp","NUM_COLLISIONS"
"52",368,4,2014,1,40.8,4.6,5.9,0.395089285714286
"60",369,4,2014,1,23.5,10,7.9,0.484375
"63",370,1,2014,1,38.6,9.2,7.7,0.5
"79",371,3,2014,1,20.3,6.3,8.1,0.680803571428571
"93",372,5,2014,1,33.7,9.9,9.1,0.482142857142857
"96",373,2,2014,1,45.5,5.2,11.8,0.479910714285714
"106",374,3,2014,1,41.1,6.5,6,0.533482142857143
"109",375,5,2014,1,14.8,10,11.8,0.805803571428571
"111",376,4,2014,1,22,10,8.1,0.698660714285714
"125",377,3,2014,1,18.2,10,12,0.607142857142857
"129",378,1,2014,1,38.8,8.8,12.3,0.372767857142857
"135",379,2,2014,1,22.2,10,10.7,0.357142857142857
"161",381,6,2014,1,38.8,8.7,7.9,0.232142857142857
"162",382,4,2014,1,16.5,9.7,11.1,0.598214285714286
"171",383,1,2014,1,46.3,2.5,14.8,0.388392857142857
"192",384,3,2014,1,28.2,10,11.3,0.122767857142857
"198",385,6,2014,1,18.8,9.3,12.1,0.165178571428571
"208",387,6,2014,1,44.8,4.4,13.4,0.270089285714286
"215",388,7,2014,1,26.8,9.4,17.8,0.270089285714286
"216",389,1,2014,1,41,10,16.8,0.0357142857142857
"231",390,4,2014,1,31.1,5.8,10.9,0.578125
"245",391,6,2014,1,32,8.5,17,0.292410714285714
"249",392,7,2014,1,36.1,10,16.5,0.0803571428571429
"253",393,7,2014,1,45.1,5.5,14.7,0.0982142857142857
"260",394,2,2014,1,23.9,9.4,17.6,0.328125
"274",395,5,2014,1,24.2,0.8,26.9,0.176339285714286
"275",396,3,2014,1,25,1.9,25.7,0.34375
"314",397,6,2014,2,35.6,10,4.8,0.363839285714286
"324",398,7,2014,2,30.3,10,4.9,0.236607142857143
"332",399,6,2014,2,28.2,10,8.6,0.178571428571429
"338",400,7,2014,2,42,9.5,9.1,0.15625
"342",401,2,2014,2,32.5,10,7.8,0.600446428571429
"346",402,5,2014,2,28.1,10,9,0.738839285714286
"358",403,7,2014,2,39.3,5.5,8.7,0.162946428571429
"364",404,2,2014,2,24,10,9.2,0.651785714285714
"369",406,4,2014,2,39.6,7.1,10.4,0.473214285714286
"379",407,4,2014,2,24.7,8.6,8.4,0.506696428571429
"388",408,3,2014,2,23.7,10,10.5,0.660714285714286
"391",409,3,2014,2,25.8,8.9,8,0.372767857142857
"402",410,4,2014,2,30.4,8.6,11.5,0.502232142857143
"418",411,1,2014,2,37.5,9.7,10.3,0.502232142857143
"425",412,1,2014,2,24.3,9.3,13.1,0.328125
"428",413,1,2014,2,28.9,9,9,0.745535714285714
"435",414,5,2014,2,42.2,3.9,10.4,0.448660714285714
"447",415,2,2014,2,27,10,15.5,0.377232142857143
"448",416,3,2014,2,35,8.9,12.3,0.464285714285714
"471",417,6,2014,2,41.4,7.1,11,0.542410714285714
"476",418,3,2014,2,32.3,6.3,9.2,0.276785714285714
"486",419,5,2014,2,20.3,9.6,12.5,0.694196428571429
"494",420,4,2014,2,37,6.3,13.4,0.229910714285714
"502",421,2,2014,2,28.2,9,12.7,0.388392857142857
"504",422,6,2014,2,35.2,7.3,11.8,0.383928571428571
"525",423,7,2014,2,29.8,7.5,20.2,0.267857142857143
"528",424,5,2014,2,40.2,5.7,20.1,1
"563",425,2,2014,3,26.5,10,4.1,0.290178571428571
"572",426,6,2014,3,24.1,10,5.2,0.341517857142857
"577",427,2,2014,3,24.8,10,8.3,0.419642857142857
"579",428,2,2014,3,41.3,8.3,9,0.370535714285714
"597",429,5,2014,3,29.4,10,8.4,0.421875
"599",430,1,2014,3,33.5,8.9,6.1,0.377232142857143
"600",431,3,2014,3,35,10,9.7,0.404017857142857
"603",432,7,2014,3,35.1,9.1,6.8,0
"604",433,7,2014,3,38.9,10,9.5,0.185267857142857
"607",434,2,2014,3,27.7,10,8.7,0.462053571428571
"608",435,7,2014,3,35.2,10,8.9,0.133928571428571
"614",436,6,2014,3,40.3,8.9,11,0.381696428571429
"620",437,6,2014,3,41.3,8.8,12,0.390625
"629",438,6,2014,3,44.9,4.5,10.2,0.502232142857143
"632",439,7,2014,3,35.3,10,10.7,0.151785714285714
"653",440,3,2014,3,43.4,7.2,9.6,0.381696428571429
"675",441,1,2014,3,28.5,10,14.2,0.390625
"691",442,5,2014,3,25.4,10,15.1,0.537946428571429
"693",443,7,2014,3,46.3,1.7,13.8,0.207589285714286
"700",444,5,2014,3,41.2,8.9,13.7,0.415178571428571
"708",445,3,2014,3,29.5,9.5,7.1,0.328125
"714",446,4,2014,3,26.3,9.1,16.4,0.477678571428571
"715",447,5,2014,3,39.3,9.6,14,0.546875
"720",448,6,2014,3,38.1,9.7,11.2,0.332589285714286
"726",449,4,2014,3,32.2,3.9,14.7,0.448660714285714
"734",450,4,2014,3,41.7,6.3,14.9,0.631696428571429
"740",451,1,2014,3,27.4,10,13.4,0.453125
"741",452,4,2014,3,28.4,10,18.2,0.433035714285714
"753",453,1,2014,3,27.3,5.8,11.2,0.214285714285714
"758",454,1,2014,3,37.8,6.1,21.3,0.479910714285714
"787",455,3,2014,3,30.8,4.7,28,0.488839285714286
"844",456,2,2014,4,49.5,10,5.6,0.256696428571429
"857",457,3,2014,4,39.3,10,5.6,0.390625
"861",458,1,2014,4,43.1,10,6.2,0.395089285714286
"877",459,6,2014,4,50.1,8.5,8.6,0.522321428571429
"880",460,6,2014,4,45.7,10,5.9,0.404017857142857
"884",461,7,2014,4,47,9.3,8.8,0.308035714285714
"890",462,7,2014,4,42.4,9.9,4.8,0.234375
"895",463,5,2014,4,40,10,7.7,0.620535714285714
"898",464,5,2014,4,40.4,9.9,9.1,0.339285714285714
"906",465,1,2014,4,42,10,7.4,0.421875
"908",466,4,2014,4,41.6,9.9,8.8,0.671875
"914",467,5,2014,4,49,10,10.5,0.609375
"920",468,3,2014,4,43.5,9.8,12.3,0.685267857142857
"925",469,4,2014,4,40.9,10,8.4,0.553571428571429
"930",470,7,2014,4,41.1,10,12.5,0.3125
"934",471,3,2014,4,49.5,9.2,8.6,0.428571428571429
"938",472,3,2014,4,46.8,9.6,10,0.560267857142857
"946",473,5,2014,4,48,8.8,13.4,0.591517857142857
"947",474,1,2014,4,52.2,7,14.4,0.379464285714286
